0x00100008 0x00100218 _start
0x00100218 0x00100220 _exit
0x00100220 0x00100228 _root
0x00100230 0x00100278 EtBoxSet
0x00100280 0x00100298 EtBoxSet
0x001002a0 0x00100304 EtBox
0x00100310 0x001004a8 EtColorSet
0x001004b0 0x00100620 EtNumChase
0x00100620 0x00100800 EtNumChase
0x00100800 0x001009e0 EtNumChase
0x001009e0 0x00100a48 EtNumSet
0x00100a50 0x00100ab8 EtNumSet
0x00100ac0 0x00100b48 EtNumSet
0x00100b50 0x00100be0 EtAngleAdjust
0x00100be0 0x00100d00 EtStrLong
0x00100d00 0x00100db0 EtNumberOut
0x00100db0 0x00100dec EtGetDist
0x00100df0 0x00100efc EtGetAngle
0x00100f00 0x00100f98 EtCos
0x00100fa0 0x00101038 EtSin
0x00101040 0x00101130 EtLibInit
0x00101130 0x0010155c GP_Paint_Line
0x00101560 0x001015f0 GP_Paint_Center2
0x001015f0 0x00101670 GP_Paint_Center
0x00101670 0x001016f4 GP_Paint
0x00101700 0x00101794 GP_Paint
0x001017a0 0x001017ac GP_TranCutProc
0x001017b0 0x001017d8 GP_TranCutSet
0x001017e0 0x00101988 GP_AngleProc2
0x00101990 0x00101db0 GP_AngleProc
0x00101db0 0x00101df8 GP_Cliper_Center2
0x00101e00 0x00101fe8 GP_Cliper_Center
0x00101ff0 0x001021d0 GP_Cliper2
0x001021d0 0x00102530 GP_Cliper
0x00102530 0x00102a08 GP_OverAllTran_Center
0x00102a10 0x00102efc GP_OverAllTran
0x00102f00 0x00102fcc GVUNI_Tran_Center
0x00102fd0 0x00103084 GVUNI_Tran
0x00103090 0x0010315c GVSYS_Tran_Center
0x00103160 0x00103214 GVSYS_Tran
0x00103220 0x001032ec GV_Tran_Center
0x001032f0 0x001033a4 GV_Tran
0x001033b0 0x0010347c GP_Tran_Center
0x00103480 0x00103534 GP_Tran
0x00103540 0x00103570 WaitDMA
0x00103570 0x0010373c DmaMemCopy
0x00103740 0x001037d8 Vuni_TranTex
0x001037e0 0x00103a80 Vuni_TranCut
0x00103a80 0x00103b00 Vuni_Clear
0x00103b00 0x00103b68 Vuni_GetHeight
0x00103b70 0x00103bd8 Vuni_GetWidth
0x00103be0 0x00103c64 Vuni_SysTranStanby
0x00103c70 0x00103cfc Vuni_VvtTranStanby
0x00103d00 0x00103d70 Vuni_Delete
0x00103d70 0x00103f64 Vuni_TranStanby
0x00103f70 0x00104084 Vuni_BackNum
0x00104090 0x00104130 Vsys_GetHeight
0x00104130 0x001041d0 Vsys_GetWidth
0x001041d0 0x001042b0 Vsys_SetTex
0x001042b0 0x0010438c Vsys_GetId
0x00104390 0x00104470 RA_VsysvramAr2Up
0x00104470 0x001044d0 Vsys_Ar2Del
